SHIP_NO,SHIP_GUBUN,GROSS_TONNAGE,REG_LENGTH,REG_BREADTH,REG_DEPTH,NATURE,PURPOSE,PURPOSE_GU,REG_PORT
20166468708,1,1.38,7.9,2.07,0.66,5,E60,1,4613025000
20166469109,1,4.93,10.5,3.89,0.95,5,A02,5,4691043000
20196481904,1,3.58,9.25,2.4,0.92,5,E60,1,4824000000
20216468907,1,4.07,10.68,3.48,0.84,5,F00,1,4682034000
20216481900,1,1.06,6.12,1.68,0.91,5,B04,1,4819000000
20246461303,1,9.77,14.92,3.81,1.04,5,B13,2,4690036000
20246468904,1,1.06,5.97,1.76,0.85,5,E60,1,4689032000
20246481907,1,0.54,4.68,1.44,0.75,5,B04,1,4819000000
20256468903,1,1.2,5.85,2.2,0.78,5,E60,1,4689032000
20266468902,1,0.95,5.94,1.72,0.82,5,E60,1,4689033000
20276461300,1,3.61,9.7,2.8,0.75,5,B04,1,4613034000
20276468902,1,0.95,5.94,1.72,0.82,5,F00,4,4689037000
20286461309,1,9.77,14.64,3.9,1.11,5,B10,3,2871000000
20286468900,1,1.41,7.18,2.04,0.79,5,F00,2,4689034000
20296461308,1,2.11,7.7,2.28,0.69,5,F00,3,4831032000
20296468909,1,3.81,9.57,3.4,0.78,5,E60,1,4677031000
20306461305,1,19,18.15,4.87,1.61,5,E63,1,4480037000
20306468906,1,1.04,5.63,1.95,0.79,5,F00,1,4689013000
20316461304,1,4.95,10,3.03,1.08,5,B13,2,4713025000
20316468905,1,3.31,9.07,3.38,0.8,5,E60,1,4822035000
20326468904,1,3.59,9.07,3.38,0.79,5,B13,2,4884039000
20336468903,1,2.92,8.36,3.24,0.74,5,F00,2,4613034000
20356468901,1,1.18,6.39,1.88,0.83,5,B13,2,4691033000
20366468900,1,1.51,7.74,2.08,0.55,5,E60,1,4689036000
20376468909,1,3.33,9.82,3.3,0.75,5,E60,1,4689033000
20386468908,1,1.19,6.4,1.8,0.75,5,E60,1,4689012000
20396468907,1,1.77,7.43,2.43,0.79,5,E60,1,4690011000
20426468902,1,1.41,6.62,2.14,0.85,5,B04,1,4689033000
20436468901,1,1.12,5.97,1.76,0.85,5,E60,1,4689036000
30016263808,1,1.4,6.88,2.04,0.88,5,B04,1,2638000000
30016264405,1,0.87,5.76,1.62,0.86,5,E70,1,2644000000
30016267108,1,1.55,6.93,2.18,0.88,5,B13,2,3120000000
30016281100,1,4.37,10.1,3.33,0.73,5,B10,3,2811000000
30016287202,1,1.41,8.29,2.15,0.64,5,B10,3,4613000000
30016311407,1,1.42,6.57,2,0.85,5,B04,1,3114000000
30016311701,1,1.07,7.02,1.85,0.7,5,B13,2,3117000000
30016413904,1,1.96,8.8,2.16,0.83,5,B04,1,4677036000
30016421708,1,3.51,8.91,2.6,0.81,5,B10,3,4217000000
30016422109,1,3.62,8.96,2.6,0.81,5,B10,3,4221000000
30016422305,1,1.4,6.35,2.03,0.93,5,B10,3,4793035000
30016428201,1,2.82,8.5,2.32,0.69,5,B10,3,4282031000
